budget,homepage,original_language,original_title,overview,release_date,revenue,runtime,status,title,vote_average,vote_count,production_company_id,genre_id,languages
220000000,https://www.example.com/movie11,en,The Avengers,Earth's mightiest heroes must come together to stop an alien invasion.,2012-05-04,1518812988,143,Released,The Avengers,8.0,28000,111,28,English
160000000,https://www.example.com/movie12,en,The Dark Knight Rises,Batman faces his greatest challenge as Gotham City falls under siege.,2012-07-20,1084939099,165,Released,The Dark Knight Rises,8.4,25000,112,28,English
100000000,https://www.example.com/movie13,en,Skyfall,James Bond's loyalty is tested as MI6 comes under attack.,2012-10-26,1108561013,143,Released,Skyfall,7.8,19000,113,28,English
65000000,https://www.example.com/movie14,en,Django Unchained,A freed slave teams up with a bounty hunter to rescue his wife.,2012-12-25,425368238,165,Released,Django Unchained,8.2,21000,114,37,English
80000000,,fr,The Intouchables,An unlikely friendship between a wealthy quadriplegic and his caretaker.,2012-09-21,426588510,112,Released,The Intouchables,8.5,17000,115,35,French
150000000,https://www.example.com/movie16,en,Captain America The Winter Soldier,Steve Rogers struggles to embrace his role in the modern world.,2014-03-26,714421503,136,Released,Captain America: The Winter Soldier,7.8,23000,116,28,English
175000000,https://www.example.com/movie17,en,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior.,2014-07-30,773328629,121,Released,Guardians of the Galaxy,8.1,26000,117,878,English
105000000,https://www.example.com/movie18,en,Interstellar,A team of explorers travel through a wormhole in space to ensure humanity's survival.,2014-11-05,677471339,169,Released,Interstellar,8.6,29000,118,878,English
85000000,https://www.example.com/movie19,en,The Grand Budapest Hotel,A legendary concierge and his protégé become involved in a stolen painting.,2014-03-06,172825064,100,Released,The Grand Budapest Hotel,8.1,18000,119,35,English
70000000,,en,Whiplash,A promising young drummer enrolls at a cutthroat music conservatory.,2014-10-10,48999540,106,Released,Whiplash,8.5,20000,120,18,English
55000000,https://www.example.com/movie21,en,Gone Girl,A man becomes the prime suspect in his wife's disappearance.,2014-10-01,369330363,149,Released,Gone Girl,8.1,22000,121,53,English
200000000,https://www.example.com/movie22,en,Tenet,A secret agent embarks on a dangerous time-bending mission.,2020-08-26,363656196,150,Released,Tenet,7.4,15000,122,28,English
90000000,https://www.example.com/movie23,ko,Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship.,2020-02-07,258662588,132,Released,Parasite,8.6,24000,123,53,Korean
160000000,https://www.example.com/movie24,en,1917,Two young British soldiers must cross enemy territory to deliver a message.,2020-01-10,384504124,119,Released,1917,8.3,20000,124,10,English
75000000,https://www.example.com/movie25,en,Soul,A musician who has lost his passion for music is transported out of his body.,2020-12-25,121564021,100,Released,Soul,8.1,17000,125,16,English
125000000,,en,Mulan,A young Chinese maiden disguises herself as a male warrior.,2020-09-04,69963918,115,Released,Mulan,5.8,12000,126,28,English|Mandarin
23000000,https://www.example.com/movie27,en,The Trial of the Chicago 7,The story of seven people on trial stemming from protests at the 1968 Democratic Convention.,2020-10-16,94636579,129,Released,The Trial of the Chicago 7,7.8,16000,127,18,English
45000000,https://www.example.com/movie28,en,The Invisible Man,A woman believes she is being stalked by her abusive ex-boyfriend.,2020-02-27,143428830,124,Released,The Invisible Man,7.1,14000,128,27,English
18000000,,en,Palm Springs,Stuck in a time loop two wedding guests develop a budding romance.,2020-07-10,3989664,90,Released,Palm Springs,7.4,13000,129,35,English
85000000,https://www.example.com/movie30,en,Birds of Prey,After splitting with the Joker Harley Quinn joins forces with other female heroes.,2020-02-07,201858461,109,Released,Birds of Prey,6.9,11000,130,28,English
